TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionID,AccountID,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerOccupation,PreviousTransactionDate
100.50,45,120,1,5000.00,TX000001,AC00001,2023-04-11 16:29:14,Debit,San Diego,D000001,162.198.218.92,M001,ATM,Doctor,2024-11-04 08:08:08
250.75,32,85,2,3500.25,TX000002,AC00002,2023-06-27 16:44:19,Debit,Houston,D000002,13.149.61.4,M002,Online,Teacher,2024-11-04 08:09:35
450.00,55,200,3,8000.00,TX000003,AC00003,2023-07-10 18:16:08,Debit,Mesa,D000003,215.97.143.157,M003,ATM,Engineer,2024-11-04 08:07:04
75.25,28,50,1,2000.50,TX000004,AC00004,2023-05-05 16:32:11,Credit,Raleigh,D000004,200.13.225.150,M004,Online,Student,2024-11-04 08:09:06
1200.00,65,300,5,15000.00,TX000005,AC00005,2023-10-16 17:51:24,Debit,Atlanta,D000005,65.164.3.100,M005,Mobile,Manager,2024-11-04 08:06:39
350.00,42,120,2,6500.00,TX000006,AC00006,2023-08-20 10:15:30,Debit,Chicago,D000006,192.168.1.1,M006,ATM,Accountant,2024-11-04 08:05:20
125.50,35,80,1,4000.75,TX000007,AC00007,2023-09-12 14:45:00,Credit,Phoenix,D000007,10.0.0.1,M007,Online,Sales,2024-11-04 08:04:15
800.00,48,250,4,9000.00,TX000008,AC00008,2023-03-25 09:30:45,Debit,Dallas,D000008,172.16.0.1,M008,Mobile,Director,2024-11-04 08:03:00
200.00,29,100,1,3000.00,TX000009,AC00009,2023-11-01 11:20:15,Debit,San Antonio,D000009,192.0.2.1,M009,ATM,Developer,2024-11-04 08:02:30
50.00,72,40,1,12000.00,TX000010,AC00010,2023-02-14 15:55:00,Credit,Austin,D000010,198.51.100.1,M010,Online,Retired,2024-11-04 08:01:00
